JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    223       12.56        5       1       63.8         13.0       9.0       5.0          0.88         27
    224       12.60        5       1       65.8          6.0      -3.0      -2.0          0.96         42
    225       12.63        6       8       79.0          0.0       0.0       0.0          0.38         14
    226       12.75        1       9        0.0          0.0       0.0       0.0          0.36         28
    227       12.85        9       1       63.0          0.0       0.0       0.0          0.52          6
    228       12.92        9       1       63.4          0.0       0.0       0.0          0.00         32
    229       12.93        4       1       44.7          0.0       0.0       0.0          0.02         26
    230       13.02        6       6       31.7          0.0       0.0       0.0          0.78         37
    231       13.17        9       1       54.5          0.0       0.0       0.0          0.22         40
    232       13.23        9       1       62.4          0.0       0.0       0.0          0.40         22
    233       13.25        9       1       38.6          0.0       0.0       0.0          0.34         46
    234       13.26        9       1       54.6          0.0       0.0       0.0          0.79         34
    235       13.32        9       1       38.6          0.0       0.0       0.0          0.57         15
    236       13.33       10       1       56.4          0.0       0.0       0.0          0.09         19
    237       13.41        3       1       63.3          0.0       0.0       0.0          0.16         25
    238       13.42        4       1       34.0          0.0       0.0       0.0          0.01         44
    239       13.45        1       2        0.0          0.0       0.0       0.0          1.55          3
    240       13.51        6       1       53.0          0.0       0.0       0.0          1.22         38
    241       13.56       11       2       11.2          0.0       0.0       0.0          0.82         13
    242       13.56       11       1       19.6          0.0       0.0       0.0          0.03         10
    243       13.66        4       1       57.7          0.0       0.0       0.0          0.01         44
    244       13.71       10       1       44.9          0.0       0.0       0.0          0.38          6
    245       13.74        6       6       21.6          0.0       0.0       0.0          0.46         31
    246       13.75        6       2       42.7          0.0       0.0       0.0          1.02          3
    247       13.79        6       7       12.0          0.0       0.0       0.0          0.49          7
    248       13.86        2       1       22.9          0.0       0.0       0.0          0.11         33
    249       14.14        4       2       25.4          0.0       0.0       0.0          0.00         61
    250       14.16        6       8       65.0          0.0       0.0       0.0          1.44         40

JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    251       14.21        8       1       54.3          0.0       0.0       0.0          0.00         20
    252       14.23        5       1       45.6        -21.0     -13.0       8.0          1.06         40
    253       14.24       12       2       37.5          0.0       0.0       0.0          0.18         35
    254       14.32        1       2        0.0          0.0       0.0       0.0          0.61         20
    255       14.47        7       1       38.8          0.0       0.0       0.0          0.00         10
    256       14.56       11       2       10.3          0.0       0.0       0.0          0.58         24
    257       14.61       11       1       37.7          0.0       0.0       0.0          0.07         23
    258       14.62       12       1       58.3          0.0       0.0       0.0          1.06         42
    259       14.74       10       1       56.2          0.0       0.0       0.0          0.09         53
    260       14.76        4       1       68.2          0.0       0.0       0.0          0.01         46
    261       14.81       12       2       45.9          0.0       0.0       0.0          1.17          8
    262       14.84        4       1       66.0          0.0       0.0       0.0          0.02         35
    263       14.87        8       2       36.2          0.0       0.0       0.0          0.00         25
    264       14.90       11       1       34.1          0.0       0.0       0.0          0.08         27
    265       14.92        6       4       24.4          0.0       0.0       0.0          0.80         45
    266       14.92        7       1       52.5          0.0       0.0       0.0          0.00          5
    267       14.95        1       7        0.0          0.0       0.0       0.0          1.92         41
    268       14.97        2       1       17.7          0.0       0.0       0.0          0.36         49
    269       15.03       10       1       55.8          0.0       0.0       0.0          0.29         49
    270       15.04        1       2        0.0          0.0       0.0       0.0          0.54         54
    271       15.07       12       2       30.3          0.0       0.0       0.0          1.42         25
    272       15.09        2       1       21.2          0.0       0.0       0.0          0.52         40
    273       15.09       12       1       44.1          0.0       0.0       0.0          1.12         50
    274       15.10        9       1       37.0          0.0       0.0       0.0          0.43         12
    275       15.14        6       1       53.0          0.0       0.0       0.0          1.12         56
    276       15.19        2       1       39.1          0.0       0.0       0.0          0.34          2
    277       15.22        9       1       60.8          0.0       0.0       0.0          0.19          6
    278       15.26        4       1       55.9          0.0       0.0       0.0          0.01         25
    279       15.26        7       2       32.5          0.0       0.0       0.0          0.00         46
    280       15.26        3       1       60.0          0.0       0.0       0.0          0.42         10
    281       15.29        2       1       29.5          0.0       0.0       0.0          0.15         50
    282       15.35        6       6       39.9          0.0       0.0       0.0          0.67          4
    283       15.36        9       1       58.4          0.0       0.0       0.0          0.11         15
    284       15.37       11       1       32.6          0.0       0.0       0.0          0.04         20
    285       15.43        6       6       37.8          0.0       0.0       0.0          0.52         43
    286       15.47        6       8       51.7          0.0       0.0       0.0          1.03         25
    287       15.60        7       1       37.4          0.0       0.0       0.0          0.00         32
    288       15.69       11       1       34.7          0.0       0.0       0.0          0.06         27
    289       15.71        6       8       84.1          0.0       0.0       0.0          0.24         24
    290       15.75        9       1       49.8          0.0       0.0       0.0          0.39          7
    291       15.76       10       1       55.2          0.0       0.0       0.0          0.21         53
    292       15.83        6       1       44.1          0.0       0.0       0.0          1.00         41
    293       15.87       10       1       61.3          0.0       0.0       0.0          0.37         38
    294       15.88        8       2       40.2          0.0       0.0       0.0          0.00         45
    295       15.92        3       1       66.9          0.0       0.0       0.0          0.33         51
    296       16.02        3       1       71.2          0.0       0.0       0.0          0.59         21
    297       16.03       11       2       12.0          0.0       0.0       0.0          0.52         45
    298       16.11        5       1       44.8         29.0       9.0      10.0          0.89         46
    299       16.24        5       1       61.8         20.0      -7.0       7.0          0.50         29
    300       16.24        4       1       54.9          0.0       0.0       0.0          0.01         63

JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    301       16.28        6       4       28.0          0.0       0.0       0.0          0.23         29
    302       16.29        1       6        0.0          0.0       0.0       0.0          0.53         11
    303       16.32        7       2       44.7          0.0       0.0       0.0          0.00         33
    304       16.33        2       1       28.6          0.0       0.0       0.0          0.47         43
    305       16.40        1       8        0.0          0.0       0.0       0.0          2.62         33
    306       16.50       11       1       29.0          0.0       0.0       0.0          0.06         36
    307       16.64       11       1       38.2          0.0       0.0       0.0          0.10         50
    308       16.85        1       5        0.0          0.0       0.0       0.0          1.90         19
    309       16.86        5       2       33.7        -28.0     -20.0       9.0          1.61         59
    310       16.87        3       1       61.9          0.0       0.0       0.0          0.24         41
    311       16.91        9       1       50.3          0.0       0.0       0.0          0.02         14
    312       16.97        1       6        0.0          0.0       0.0       0.0          1.66         41
    313       17.03        7       1       35.6          0.0       0.0       0.0          0.00         20
    314       17.06       11       1       41.1          0.0       0.0       0.0          0.06         47
    315       17.15        2       1       46.9          0.0       0.0       0.0          0.42         52
    316       17.17        5       2       25.5         21.0     -22.0       8.0          0.19         42
    317       17.18        5       1       79.6        -25.0      24.0       9.0          0.95         17
    318       17.22        4       1       57.4          0.0       0.0       0.0          0.00         48
    319       17.31       12       1       61.4          0.0       0.0       0.0          0.00         50
    320       17.39        9       1       41.8          0.0       0.0       0.0          0.76         53
    321       17.41        4       2       34.8          0.0       0.0       0.0          0.03         16
    322       17.48        3       1       49.9          0.0       0.0       0.0          0.38          2
    323       17.49        1       8        0.0          0.0       0.0       0.0          1.87         12
    324       17.50        6       3       17.4          0.0       0.0       0.0          0.68         16
    325       17.53        1       3        0.0          0.0       0.0       0.0          0.73         30
    326       17.53        6       5       36.9          0.0       0.0       0.0          0.00         26
    327       17.57        2       1       54.5          0.0       0.0       0.0          0.57         52
    328       17.59       11       1       47.0          0.0       0.0       0.0          0.09         47
    329       17.67       10       1       57.1          0.0       0.0       0.0          0.27          1
    330       17.67        1       4        0.0          0.0       0.0       0.0          2.13         38
    331       17.71        4       2       38.4          0.0       0.0       0.0          0.19         32
    332       17.82        9       1       52.2          0.0       0.0       0.0          0.37          7
    333       17.96        6       8       63.7          0.0       0.0       0.0          0.36          1
    334       17.99        2       1       39.3          0.0       0.0       0.0          0.45         38
    335       18.02        9       1       58.9          0.0       0.0       0.0          0.20         55
    336       18.17        3       1       63.5          0.0       0.0       0.0          0.27         37
    337       18.26        1       3        0.0          0.0       0.0       0.0          1.45         60
    338       18.26        6       6       47.3          0.0       0.0       0.0          0.55         35
    339       18.38       10       1       45.1          0.0       0.0       0.0          0.21         40
    340       18.38        7       2       38.2          0.0       0.0       0.0          0.00         10
    341       18.38        9       1       51.1          0.0       0.0       0.0          0.42         23
    342       18.43        5       2       18.9        -31.0      11.0      11.0          0.20         17
    343       18.50       11       1       19.5          0.0       0.0       0.0          0.05          7
    344       18.62       11       1       21.7          0.0       0.0       0.0          0.08         20
    345       18.79        8       1       45.0          0.0       0.0       0.0          0.00         35
    346       18.81        9       1       45.8          0.0       0.0       0.0          0.69         51
    347       18.85        8       1       58.9          0.0       0.0       0.0          0.00         48
    348       18.90        8       1       58.5          0.0       0.0       0.0          0.00         22
    349       19.00       12       1       52.0          0.0       0.0       0.0          1.25         18
    350       19.01        6       2       47.6          0.0       0.0       0.0          1.33         21

JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    351       19.14        4       2       36.5          0.0       0.0       0.0          0.14         11
    352       19.20        9       1       41.7          0.0       0.0       0.0          0.37         54
    353       19.32       11       1       33.2          0.0       0.0       0.0          0.01         17
    354       19.35       12       1       68.7          0.0       0.0       0.0          1.44          6
